2020-12-30 09:07:29.962 [main] INFO  com.hjc.BlogApplication - The following profiles are active: default
2020-12-30 09:11:38.635 [main] INFO  com.hjc.BlogApplication - The following profiles are active: default
2020-12-30 09:11:40.063 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-30 09:11:40.067 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-30 09:11:40.119 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2020-12-30 09:11:40.388 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=cc894eb9-7d91-371e-b6ab-258adb6d542c
2020-12-30 09:13:16.445 [main] INFO  com.hjc.BlogApplication - The following profiles are active: default
2020-12-30 09:13:17.823 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-30 09:13:17.827 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-30 09:13:17.882 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2020-12-30 09:13:18.161 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=cc894eb9-7d91-371e-b6ab-258adb6d542c
2020-12-30 09:13:54.699 [main] INFO  com.hjc.BlogApplication - The following profiles are active: default
2020-12-30 09:13:56.242 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-30 09:13:56.268 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-30 09:13:56.362 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41ms. Found 0 Redis repository interfaces.
2020-12-30 09:13:56.982 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=cc894eb9-7d91-371e-b6ab-258adb6d542c
